ID,Pos,Cell_Centroid_X,Cell_Centroid_Y,Cell_Area,Nuc_Area,Mem_Area,Cyt_Area,Median_Cell_BCAT,Median_Nuc_BCAT,Median_Mem_BCAT,Median_Cyt_BCAT,Median_Cell_CC3,Median_Nuc_CC3,Median_Mem_CC3,Median_Cyt_CC3,Median_Cell_CD44V6,Median_Nuc_CD44V6,Median_Mem_CD44V6,Median_Cyt_CD44V6,Median_Cell_COX2,Median_Nuc_COX2,Median_Mem_COX2,Median_Cyt_COX2,Median_Cell_DAPI,Median_Nuc_DAPI,Median_Mem_DAPI,Median_Cyt_DAPI,Median_Cell_ECAD,Median_Nuc_ECAD,Median_Mem_ECAD,Median_Cyt_ECAD,Median_Cell_KI67,Median_Nuc_KI67,Median_Mem_KI67,Median_Cyt_KI67,Median_Cell_LC3A,Median_Nuc_LC3A,Median_Mem_LC3A,Median_Cyt_LC3A,Median_Cell_LYZ,Median_Nuc_LYZ,Median_Mem_LYZ,Median_Cyt_LYZ,Median_Cell_MMP7,Median_Nuc_MMP7,Median_Mem_MMP7,Median_Cyt_MMP7,Median_Cell_MUC2,Median_Nuc_MUC2,Median_Mem_MUC2,Median_Cyt_MUC2,Median_Cell_NAKATPASE,Median_Nuc_NAKATPASE,Median_Mem_NAKATPASE,Median_Cyt_NAKATPASE,Median_Cell_PCAD,Median_Nuc_PCAD,Median_Mem_PCAD,Median_Cyt_PCAD,Median_Cell_PCK26,Median_Nuc_PCK26,Median_Mem_PCK26,Median_Cyt_PCK26,Median_Cell_PCNA,Median_Nuc_PCNA,Median_Mem_PCNA,Median_Cyt_PCNA,Median_Cell_PEGFR,Median_Nuc_PEGFR,Median_Mem_PEGFR,Median_Cyt_PEGFR,Median_Cell_PERK,Median_Nuc_PERK,Median_Mem_PERK,Median_Cyt_PERK,Median_Cell_SMAD4,Median_Nuc_SMAD4,Median_Mem_SMAD4,Median_Cyt_SMAD4,Median_Cell_SURVIVIN,Median_Nuc_SURVIVIN,Median_Mem_SURVIVIN,Median_Cyt_SURVIVIN,Median_Cell_VILLIN,Median_Nuc_VILLIN,Median_Mem_VILLIN,Median_Cyt_VILLIN
11,3,466,1425,1242,422,358,462,1132,937,1062,1505,98,66,104,119,460,440,414,517,3018,3098,2542,3296,5872,26377,2985,4847,17,29,32,0,624,596,538,732,5828,5788,4496,6704,3369,3562,2816,3508,429,496,288,507,645,625,677,645,687,639,603,872,2579,2273,2213,3598,274,190,402,343,202,208,161,222,505,481,433,623,837,946,315,860,2053,1620,1650,2861,31,208,7,16,234,272,203,235
12,3,467,1459,474,138,210,126,903,781,1044,936,66,70,61,67,459,360,569,436,3796,4666,3487,3650,4613,19232,3330,4392,85,172,45,82,864,987,786,834,4535,3751,5302,5504,3819,3754,3864,3832,791,1445,682,590,874,1076,821,809,374,0,525,519,2341,2073,2428,2550,203,110,224,231,351,673,279,323,551,542,551,557,422,255,594,480,1845,1478,2264,2405,47,98,40,32,394,490,350,383
13,3,457,1169,190,142,48,0,4424,3953,6747,0,73,69,92,0,728,724,737,0,7421,7301,8389,0,20030,21274,13467,0,4447,3881,7895,0,862,817,1060,0,6175,5840,7258,0,7452,7396,7791,0,502,520,425,0,865,845,968,0,4113,3734,5721,0,6381,5989,10666,0,2721,2511,4417,0,256,267,204,0,626,613,649,0,465,503,420,0,1431,1397,1533,0,356,415,140,0,332,324,368,0
14,3,459,1195,367,146,145,76,4696,4063,5182,6041,61,78,47,64,582,579,577,605,5619,4438,6407,7749,14645,21915,6634,7026,4529,3082,4885,6386,810,836,789,801,5472,4846,6096,5558,7524,7358,7576,8607,441,512,408,363,846,835,836,957,5327,4481,5361,6042,6943,5038,7645,9974,2838,2316,2895,3841,255,249,241,260,584,553,592,640,383,468,313,348,1490,1427,1548,1498,159,377,54,26,293,266,277,360
15,3,494,2247,1851,517,619,715,1086,3245,970,695,94,99,84,98,627,1037,534,462,3869,5409,2631,3155,5620,22461,2849,2905,1469,3901,1217,742,676,945,583,539,4720,8597,3603,3446,6290,7677,4379,5241,361,614,287,232,1548,1389,1654,1697,1239,3819,1134,733,2993,5126,2864,2310,1187,1406,1322,1022,235,375,194,168,648,838,570,573,305,556,219,183,2000,2891,1505,1389,144,436,52,60,317,335,315,294
16,3,478,1388,667,313,180,174,2870,2645,3574,3168,101,113,100,78,716,734,648,735,11266,12314,9972,8651,15621,30383,3173,2313,1096,780,2065,1477,990,986,990,991,8247,8108,8206,8500,5387,5444,5515,5081,552,617,479,479,803,782,860,788,888,640,1200,1134,3549,2868,4526,4144,3128,2716,4703,3734,325,344,286,297,568,550,561,639,511,589,453,410,2011,1913,2061,2366,207,438,33,32,421,475,345,392
17,3,466,998,140,16,72,52,314,241,268,388,76,196,56,78,299,266,315,290,1741,1534,1578,1855,3399,13303,2522,3584,0,0,0,0,367,338,299,481,2076,1940,2226,2142,3586,3445,3421,4104,65,12,110,0,2425,1024,1790,9840,447,270,458,555,1242,874,1370,1446,268,152,289,325,66,0,154,4,484,360,456,549,180,93,158,273,680,521,649,792,0,4,0,0,226,181,226,285
18,3,496,1086,3387,239,700,2448,664,664,705,654,101,92,92,105,539,528,573,533,3425,2835,3202,3599,2136,16439,1872,2096,73,73,54,81,560,677,560,547,5172,5353,5437,5080,7188,5758,7001,7601,311,353,308,307,731,716,750,730,518,262,550,534,1982,1935,2110,1968,238,195,247,241,192,203,180,194,395,427,395,391,371,652,278,375,1632,1543,1573,1666,17,259,8,15,198,210,184,199
19,3,486,1195,889,148,301,440,5973,4916,7197,5766,87,55,102,93,622,594,599,646,7412,7418,7633,7301,2728,20535,2072,2190,5518,4737,7292,4824,2116,898,1797,2731,7629,6490,7803,7785,17264,8673,20604,17825,1030,550,1021,1281,1448,864,1699,1949,4392,3677,5362,3860,9021,7381,10779,8722,4951,2458,5675,5064,386,289,381,457,613,572,625,620,554,465,542,596,1611,1491,1615,1625,324,218,257,529,461,340,492,503
20,3,479,1343,1765,857,413,495,1667,1198,2488,1990,117,124,114,107,634,644,611,631,4538,4317,4976,4671,7981,18492,2991,3707,495,333,1129,624,777,807,737,738,6990,6213,7464,7933,5088,5089,4943,5143,491,551,439,419,688,679,733,678,589,390,1129,741,2545,2108,3499,2637,938,424,1811,1306,285,327,236,245,502,466,578,508,428,476,340,399,2030,1901,2084,2259,100,334,29,29,293,317,275,274
21,3,486,1266,1037,338,278,421,3950,3983,5138,3641,76,81,80,70,689,760,659,629,8936,10407,8281,5603,5248,21849,4338,2806,3292,3385,5163,2848,966,1115,984,764,8854,9285,8881,7719,7830,8126,7527,6836,564,709,502,459,807,843,817,738,2711,2741,3846,2480,6425,6720,7826,5693,3272,2879,3903,3433,297,410,265,241,599,551,591,656,374,446,339,340,1790,1778,1880,1767,67,331,32,16,377,440,354,322
22,3,487,1406,422,235,144,43,4299,3912,5382,4297,111,131,90,79,612,590,655,609,7308,7171,8207,6726,27983,31497,12073,5667,2779,2419,3919,2234,1211,1273,1079,996,7532,7237,7917,8007,7228,7411,6953,5809,679,803,514,499,929,889,983,916,2407,2166,3097,2093,4596,4104,5907,4480,3372,2870,4002,3971,414,513,315,330,595,585,618,617,771,898,604,742,1825,1770,1902,2021,446,753,144,49,387,389,392,377
23,3,492,1304,564,189,222,153,2724,2599,3400,2649,71,80,75,58,673,701,670,647,8599,9521,8762,5442,5064,24052,3297,2501,1803,1726,2512,1688,795,808,784,794,8033,8361,8496,6959,8873,9541,6500,6207,521,623,488,431,765,807,753,714,1862,1791,2303,1739,4149,4175,4560,4006,2715,2256,3531,2687,304,376,241,227,540,519,554,552,371,477,300,328,1861,1818,1867,1956,67,290,32,3,434,489,404,421
24,3,503,1291,607,279,220,108,4621,3993,6560,4466,81,88,78,71,706,656,745,741,9833,9181,10867,10568,16205,28343,7439,6408,4171,3090,7060,3913,1080,1084,1109,1005,9503,8615,9985,11641,8556,8304,9732,8464,718,831,632,598,802,786,829,813,3577,2845,4250,3853,7037,5920,10093,7030,3153,2445,4108,5364,395,426,368,365,618,603,645,627,724,993,624,478,1834,1842,1862,1791,234,496,136,52,441,440,427,470
25,3,483,1414,107,13,74,20,4024,3998,4011,4181,64,46,79,31,695,1053,681,726,10113,13994,8906,11986,6548,10830,5800,6496,3015,3260,2827,2927,1007,1268,969,1005,9770,12313,8671,10497,5811,6092,5701,5526,434,496,425,375,999,1158,997,944,2578,2578,2577,2552,5054,5712,5001,4902,3640,3766,3444,4170,273,494,243,281,635,600,629,687,468,492,449,474,1907,2102,1837,2024,73,92,70,48,429,542,367,513
26,3,483,2066,314,4,179,131,2218,3693,2134,2224,14,208,41,0,483,865,346,537,6719,11653,3684,7148,1154,16683,1140,1190,3200,4177,2709,3522,1511,1841,1166,1899,3713,8781,2892,3764,3823,5831,2843,3977,431,1002,191,698,9445,4185,6539,12104,2982,5263,2759,2973,5047,8068,4410,5194,2529,2185,2681,2520,259,255,166,385,437,766,439,434,127,728,74,134,791,1857,700,829,0,512,0,7,314,606,260,345
27,3,500,1373,859,590,184,85,4359,4564,4104,3180,95,100,82,95,686,692,696,639,16277,17050,10952,16961,22394,30476,5272,4630,1773,1542,2997,1516,941,949,914,934,8601,8571,8467,8705,5169,5247,5314,4458,589,619,471,509,747,747,770,730,1177,903,2035,1550,4140,3831,5077,3789,2211,1771,3399,2472,331,340,275,368,614,611,657,591,449,507,323,285,1708,1704,1804,1596,286,414,77,46,444,460,403,387
28,3,498,1430,816,343,204,269,2885,2830,2841,3018,59,83,40,46,627,733,523,530,7766,9218,6637,6667,9995,25927,3383,3372,1493,1474,1416,1562,847,940,768,706,7181,7276,7902,6774,5298,5190,5169,6071,448,563,377,343,854,789,874,905,1877,1795,1663,2039,3720,3604,3833,3789,2135,1516,2622,3386,293,363,240,235,532,545,510,500,335,373,219,337,1658,1661,1681,1649,97,354,30,15,300,319,273,294
29,3,518,1530,1883,999,501,383,4429,4609,2935,4531,100,122,76,93,827,839,795,826,3847,3933,3757,3532,15985,25215,4925,6794,5148,5384,3486,5247,1181,1252,1028,1191,6628,6837,5750,6628,5049,5249,4478,4880,525,599,404,463,1075,1103,1049,1029,4778,4796,3665,5376,7906,8051,6103,8231,2148,2103,2171,2389,328,361,267,310,625,648,539,625,566,662,276,525,2097,2188,1645,2057,178,404,50,62,377,428,305,324
30,3,489,1240,68,52,16,0,3583,3112,9623,0,80,83,79,0,518,491,641,0,5164,4595,6301,0,16486,17697,9963,0,2577,2156,8768,0,815,763,957,0,6311,5784,7202,0,5746,5646,6137,0,325,344,233,0,907,914,906,0,3395,2762,5719,0,5108,4540,13017,0,2684,2123,4097,0,182,211,10,0,455,450,506,0,348,359,297,0,1473,1412,1589,0,111,129,24,0,359,290,516,0
31,3,494,1249,92,27,57,8,5236,3394,6352,4795,88,98,79,192,726,586,737,1016,12383,10597,12574,14713,7363,22816,6944,6151,4635,2275,5888,3793,1000,889,1087,961,9944,8673,10545,10606,7729,7170,7917,7969,713,800,659,885,1282,1385,1207,1329,3819,2834,4446,2990,7792,4509,9303,7327,4162,2745,4422,4245,355,341,366,342,540,528,543,511,267,279,261,262,1741,1689,1778,1780,72,163,33,11,516,568,508,546
32,3,511,2227,1132,717,273,142,6536,6728,5909,3987,104,128,74,71,1262,1287,1174,1156,8281,8826,7606,6231,26792,30233,12956,6677,6908,7103,6653,5620,1651,1751,1553,985,9373,9501,9483,7547,7964,8091,7653,6271,615,677,527,496,1991,1972,1908,2326,7525,7646,7208,5931,8441,8459,8578,7863,2129,2182,2180,1750,359,369,346,327,744,741,738,797,1240,1454,937,740,2565,2591,2483,2413,669,754,421,220,478,502,432,385
33,3,505,1137,735,164,271,300,3965,3226,5436,3817,78,55,93,74,712,729,680,747,11105,10659,10672,12706,3734,14678,2991,3242,3233,1877,5101,3083,1231,1255,1257,1186,8684,6864,9330,10646,7868,7149,8124,8524,973,1054,842,960,949,915,1000,978,2554,1824,3397,2562,6574,4716,9675,6344,4329,3319,5882,4534,272,272,262,284,536,494,551,551,417,500,422,353,1591,1402,1609,1684,66,164,29,56,474,465,480,486
34,3,546,1273,1269,732,352,185,6233,5212,8584,7239,80,89,68,72,682,614,795,749,7134,5458,11300,10635,19925,25436,4719,3280,4586,4044,6658,4146,1218,1072,1473,2405,8298,6658,11803,12082,9709,9894,9937,9097,628,577,701,687,882,883,903,853,3661,3924,3613,2381,7791,7028,9816,7277,2949,2484,4260,3260,359,353,371,381,512,504,545,510,411,487,340,287,1800,1666,1968,2183,213,348,109,87,385,337,468,459
35,3,503,1327,198,68,99,31,3532,2611,5105,3407,79,108,61,106,693,643,734,753,10770,7972,11380,11667,6387,20966,4838,5306,2130,1108,3806,2087,898,894,932,848,10055,7940,10637,10974,7958,7444,8434,7680,547,674,456,573,1072,970,1133,1134,3229,1570,5038,3443,4684,3281,7003,4984,5019,3071,5792,6372,289,306,294,246,566,511,619,544,328,420,296,217,1836,1792,1864,1796,139,273,82,117,403,334,452,392
36,3,523,1464,1362,554,349,459,3497,3834,1954,3450,63,87,55,51,692,727,618,688,6786,7487,4676,6972,9029,21725,3722,4634,1615,1733,1355,1568,905,959,794,852,7777,8595,6086,7639,5191,5657,4228,4823,493,560,375,476,819,796,843,825,1568,1530,1635,1574,3717,3879,3518,3477,2185,2397,1588,2156,328,369,286,309,548,555,474,566,312,381,179,306,1839,1801,1851,1870,105,312,33,37,363,425,274,334
37,3,504,1315,126,35,76,15,5770,5584,5816,6843,65,33,70,67,926,950,850,1153,12709,14399,11915,13499,9011,9318,8359,10238,5850,5774,5762,7335,1127,1105,1091,1202,12335,13906,11472,11691,7684,8174,7397,7361,610,681,570,595,974,1029,961,918,5716,3997,6005,7141,8634,8436,8826,10127,4929,4872,5232,4330,361,292,372,379,587,575,587,626,259,265,263,216,2015,2014,1977,2097,65,68,61,123,585,612,581,509
38,3,557,1343,2338,788,403,1147,3510,4121,4362,2338,52,82,31,41,513,680,510,363,8186,8604,8937,5567,4739,22263,3707,2750,3140,3962,4220,1849,965,1091,944,767,8446,8615,8770,6847,17560,6617,21525,21648,367,540,331,172,4965,1135,5339,12291,3232,3702,3948,2159,5378,5961,6560,4086,3134,3048,4007,2866,232,345,206,136,464,497,506,390,244,394,204,112,1673,1845,1652,1195,74,323,26,15,313,377,363,217
39,3,511,1348,233,110,92,31,4855,4861,6009,3395,80,66,95,47,710,694,751,595,10645,9666,11163,13358,12209,18928,4689,4043,4432,4405,6217,3015,952,949,1008,909,8962,8242,9535,10078,5341,4976,6056,5390,485,447,544,533,877,796,922,1017,5117,5138,6555,3318,7599,7587,9118,6138,4492,3792,5333,4632,277,293,250,267,522,486,554,575,283,357,219,150,1757,1795,1739,1621,97,175,39,90,361,323,354,421
40,3,514,1391,353,201,111,41,3637,4394,3401,1532,96,96,91,107,718,747,684,633,10795,12034,9751,8583,15990,20461,5684,4938,2239,2424,2913,796,921,989,829,681,8577,8773,8103,6689,4957,5183,4589,3534,538,583,473,257,748,750,749,744,1049,1032,1421,713,4096,4415,4366,2482,4126,4193,5226,3069,293,319,277,170,543,540,578,492,401,431,367,247,1936,1891,2026,1953,160,259,59,48,409,478,375,221
41,3,538,1286,730,458,224,48,5883,5298,7179,6020,76,78,64,95,716,684,781,718,8090,7329,9564,9958,20293,22925,6999,5399,5749,5232,7405,5514,1181,1051,1534,2890,9216,8199,10647,11151,10954,10204,22048,28258,579,563,581,718,808,782,850,897,3322,3316,3513,2658,8406,7973,10137,8090,3182,2693,4040,3761,351,336,377,363,546,543,555,543,426,465,356,329,1840,1760,1954,1942,271,365,152,90,423,387,492,449
42,3,514,1440,188,109,76,3,4731,3941,6848,5476,74,82,73,15,741,674,818,507,9077,8475,9838,11336,23338,26574,14446,7503,2603,1511,5841,4077,965,904,1074,1017,9183,8100,9880,10883,10573,9779,11346,12548,538,526,579,163,910,865,956,1030,3601,2340,5923,3963,5129,3846,8532,6872,3653,2703,4796,4643,318,323,320,120,602,565,645,675,479,527,451,332,1826,1748,1951,2071,257,348,113,74,359,331,385,849
43,3,511,1407,77,49,28,0,6644,5806,7222,0,67,56,72,0,809,805,868,0,14234,14525,13845,0,12642,12655,11984,0,6367,6253,8275,0,1134,1143,1133,0,11594,11660,11327,0,6592,6555,6877,0,705,697,718,0,968,977,958,0,3231,3075,3585,0,8851,8269,10162,0,6078,5856,6673,0,400,386,419,0,639,652,620,0,407,411,400,0,2108,2132,2085,0,147,146,153,0,606,647,588,0
44,3,534,1366,1032,590,284,158,4606,4059,5906,4257,89,106,73,64,709,665,781,737,10585,9694,12194,13875,14528,22479,6027,6730,3303,2331,4904,3414,1199,1138,1209,1449,9705,8502,11148,11975,10467,10815,9714,19829,593,587,600,595,1045,974,1081,2814,3682,2912,5388,3490,5750,4908,7847,5292,4118,3163,5610,4584,343,358,319,312,551,516,624,577,439,503,365,301,1938,1820,2117,2075,182,374,88,66,390,380,390,425
45,3,541,1254,626,488,128,10,4121,3518,6586,4747,82,86,73,59,617,614,639,576,5344,4957,6515,5501,21787,23787,11145,13545,3177,2333,6220,4536,936,896,1033,807,6737,6245,7659,7720,7664,7526,9015,7356,550,568,480,393,1509,1461,1864,2508,3194,2654,5326,3865,5776,4926,9668,8368,3104,2783,4407,3719,327,343,304,187,469,466,483,430,370,398,286,266,1586,1574,1617,1822,284,351,92,19,302,276,377,398
46,3,521,1313,188,125,60,3,5125,4586,7062,4460,68,62,71,103,905,880,946,844,13879,14517,13006,12805,14032,16705,10719,8488,4942,4384,7573,3425,1162,1143,1227,1130,14032,14109,13560,16458,8289,8228,8440,7026,725,754,687,400,954,927,1000,1059,3257,2829,4741,3531,7731,7059,10668,7436,3130,2858,4546,2990,448,459,410,630,569,570,565,500,264,273,223,55,2217,2144,2474,2301,152,175,119,97,531,558,492,387
47,3,534,1411,1211,625,357,229,3598,2740,4724,4197,193,165,202,307,777,778,751,826,10089,9646,10716,10032,12582,25663,7461,6860,2472,1396,4215,3198,1005,1002,1034,972,10450,9940,10916,10604,6361,6102,6633,6905,602,597,555,671,848,809,864,926,2705,1742,4415,4270,4990,3506,6511,5737,3430,2345,4508,4853,372,397,346,358,609,573,650,661,452,491,397,430,2036,1883,2127,2285,194,364,71,81,459,460,442,487
48,3,570,1314,1938,953,452,533,5340,4543,7843,5570,79,76,96,70,769,717,771,881,14697,11583,14238,22392,13044,18773,5865,3880,5100,4599,7217,4973,1212,1084,1332,1357,11871,9422,12415,15073,10421,15072,11480,7973,718,589,737,993,1004,897,1043,1240,3567,3329,4321,3368,7897,7053,10358,8176,3516,2796,5007,4723,408,367,411,473,568,543,578,599,343,350,386,299,2065,1936,2160,2267,172,232,132,118,496,427,535,589
49,3,535,1324,526,378,80,68,6674,6293,7512,6976,87,87,75,100,764,750,773,831,8307,7907,9325,8547,19752,21348,7239,8811,5835,5870,7240,5205,1247,1095,1900,4771,9424,8726,10490,10484,8925,8183,18328,17081,567,580,510,578,1058,968,1814,1487,4937,4835,6643,4934,7811,7748,9557,7386,4238,3949,5441,4784,340,338,348,331,542,538,578,542,383,413,347,351,2060,1960,2182,2189,193,265,44,67,381,368,437,411
50,3,520,1031,170,3,97,70,426,673,378,454,117,198,110,122,693,882,661,709,2641,2937,2682,2614,1646,10807,1626,1659,0,0,0,0,727,836,614,853,4545,5113,4420,4690,4894,5220,4448,5172,226,396,211,231,3242,1507,1718,5841,942,806,784,1156,1480,1774,1419,1523,203,242,178,240,192,211,202,166,475,440,436,561,230,430,147,378,1545,1551,1372,1665,10,468,13,1,181,221,199,143
51,3,525,1153,961,397,340,224,4765,4413,5449,4525,76,74,84,70,768,718,783,827,12915,10792,13524,16062,10700,22365,5363,6206,3861,3123,4884,3412,1126,1011,1204,1334,9976,8628,10398,10876,7557,7202,8016,8060,704,634,715,885,873,817,893,1037,1943,2017,2100,1565,6814,5932,8364,7040,5009,4137,5997,5157,345,352,336,346,524,519,540,516,411,458,402,344,1767,1739,1842,1725,156,339,83,84,508,414,631,519
52,3,522,957,86,21,47,18,104,191,92,64,74,153,38,175,166,177,170,114,1509,1869,1426,1504,4790,22871,2961,6112,0,0,0,0,223,436,88,328,1517,1917,1412,1579,1987,2474,1553,2006,0,0,31,0,2651,1898,2536,4061,77,0,104,62,991,944,898,1233,212,205,202,252,0,0,0,0,353,379,288,458,0,114,0,17,519,487,517,601,0,5,0,0,95,334,49,63
53,3,538,2301,966,357,241,368,5752,6508,4447,5415,89,144,63,73,1165,1169,875,1254,6258,6651,4574,6634,10311,28847,3048,4064,6613,7125,4831,6180,1205,1936,904,1005,9956,9466,7850,10978,7438,7977,6359,6850,545,658,476,481,1628,1734,1382,1563,7120,7569,4728,7163,7242,7205,6274,7612,1699,1728,1145,1944,399,531,313,341,823,758,691,954,776,1576,491,592,2578,2477,2344,2799,185,742,40,36,435,448,363,458
54,3,542,1433,617,432,152,33,3678,2697,6838,4499,119,110,162,117,839,791,921,937,11439,10658,11600,17270,17584,22178,9253,6693,3297,2027,7612,4724,1132,1073,1268,1261,11691,10309,12213,15923,6648,6155,7964,7506,613,629,532,716,862,817,991,1121,3876,2678,7191,4915,5580,4345,9931,6674,2404,1767,4812,4418,455,474,405,455,575,543,652,650,374,401,353,246,2022,1857,2256,2275,226,299,132,80,432,406,505,510
